"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_010 — Login via Enter key works same as clicking Login button","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_003 — Empty form submission shows validation error","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_017 — Valid registered email triggers successful recovery email","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_020 — Successful logout redirects user to Login page","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_011 — Email with surrounding whitespace handled gracefully","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_013 — 255-character password does not crash the system (upper BVA)","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_007 — Email with ""@"" but no domain blocked by HTML5 validation","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_021 — Browser Back button after logout cannot bypass authentication","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_009 — Wrong password rejected with invalid credentials error","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_002 — Successful Login with ""Remember Me"" option","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_012 — Single character password rejected (below minimum)","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_014 — Authenticated user navigating to Login URL is redirected to Dashboard","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_019 — Non-existent email in Forgot Password handled securely (no enumeration)","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_008 — Non-existent email rejected with generic error (no account enumeration)","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_015 — CSRF protection: form has token field, requests without token are rejected","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_005 — Blank Password field shows required validation","0"
"0","","0","","1","0","","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_001 — Successful Login with valid credentials","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_018 — Empty email in Forgot Password blocked by HTML5 required validation","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_006 — Invalid email format blocked by HTML5 client-side validation","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_004 — Blank Email field shows required validation","0"
"0","Perfex CRM","0","Authentication — Login / Logout / Forgot Password","1","0","TC_016 — ""Forgot Password?"" link redirects to correct page","0"
